asymptotic.mse,boot.mse,asymptotic.se,boot.se,rate1,rate1.bias,rate2,rate2.bias,rate3,rate3.bias
0.22855591263783012,0.05043683171942605,0.27178291764735524,0.11751763922415549,1.1760101849004574,0.0012913799209585634,0.7837037479860292,0.005015285790339207,1.8019342767146656,0.003820435134400898
0.22855591263783012,0.05043683171942605,0.2215172841367699,0.11994627054346495,1.1760101849004574,0.0012913799209585634,0.7837037479860292,0.005015285790339207,1.8019342767146656,0.003820435134400898
0.22855591263783012,0.05043683171942605,0.3249923862824952,0.149328177887365,1.1760101849004574,0.0012913799209585634,0.7837037479860292,0.005015285790339207,1.8019342767146656,0.003820435134400898
0.07947270926309508,0.05077462513372156,0.1576107424802013,0.1141778216430018,0.9398112092875304,0.004628000383511333,0.7671781311853605,0.0107864099316149,1.0185749162962283,-0.001131629947887566
0.07947270926309508,0.05077462513372156,0.160013508046489,0.12321875570860669,0.9398112092875304,0.004628000383511333,0.7671781311853605,0.0107864099316149,1.0185749162962283,-0.001131629947887566
0.07947270926309508,0.05077462513372156,0.17037382533884407,0.150058711557701,0.9398112092875304,0.004628000383511333,0.7671781311853605,0.0107864099316149,1.0185749162962283,-0.001131629947887566
0.048214662471026785,0.04725007936920384,0.12079428852617434,0.10461370687421839,0.8342412511860481,0.0010303079238238107,0.8938787059902578,0.0031457095482951176,0.9101933648497142,0.010284979072012732
0.048214662471026785,0.04725007936920384,0.1322759699996877,0.11433784385650063,0.8342412511860481,0.0010303079238238107,0.8938787059902578,0.0031457095482951176,0.9101933648497142,0.010284979072012732
0.048214662471026785,0.04725007936920384,0.1269900393382247,0.15235034277048928,0.8342412511860481,0.0010303079238238107,0.8938787059902578,0.0031457095482951176,0.9101933648497142,0.010284979072012732
0.04737953420196084,0.0465959008721551,0.1178458849081075,0.10852766075657706,0.8553478986501136,6.547218007328002e-4,0.8497222859178104,0.002329177658379308,1.5251865273901681,0.0069693044577766195
0.04737953420196084,0.0465959008721551,0.11407655850482841,0.12345975561432043,0.8553478986501136,6.547218007328002e-4,0.8497222859178104,0.002329177658379308,1.5251865273901681,0.0069693044577766195
0.04737953420196084,0.0465959008721551,0.1431028315997988,0.14005063735501258,0.8553478986501136,6.547218007328002e-4,0.8497222859178104,0.002329177658379308,1.5251865273901681,0.0069693044577766195
0.03490414109242518,0.0492909034826945,0.09822937076656481,0.11480763659186784,0.7849927278726718,0.006127241957345963,0.9636730005093745,0.006198541765649922,1.321481973231427,0.004399304186754595
0.03490414109242518,0.0492909034826945,0.10490717294770566,0.11990535602932359,0.7849927278726718,0.006127241957345963,0.9636730005093745,0.006198541765649922,1.321481973231427,0.004399304186754595
0.03490414109242518,0.0492909034826945,0.11937175911977713,0.14743162860420328,0.7849927278726718,0.006127241957345963,0.9636730005093745,0.006198541765649922,1.321481973231427,0.004399304186754595
