R,p,tau,N,bias1,bias2,bias3,bias4,bias5,bias6,bias7,mse,se1,se2,se3,se4,se5,se6,se7,se_asym1,se_asym2,se_asym3,se_asym4,se_asym5,se_asym6,se_asym7,mse_asym,mse_asym_hat,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7
1000,0.333,0.188611477703386,35,0.100601515168727,0.0397440354149023,0.119347316909715,0.0805895784812893,0.0617378137156819,0.120652872189458,0.0543821868400045,3.72946061154034,0.707855722690214,0.73769132343429,0.672677138443501,0.739096195299971,0.732951396983821,0.699323689935025,0.699355363308491,0.903053521474522,0.733309629044697,1.20704291762159,0.758618084691156,1.05734497958508,0.778821988391286,1.08962634054749,10.574609220415,6.29753033556857,0.99,0.987,0.993,0.987,0.993,0.99,0.995
1000,0.333,0.188611477703386,40,0.111745274420532,0.0504543682527412,0.116281221256154,0.0191596195791583,0.0233973820666895,0.0775720333120073,0.0828040662490765,3.42904116359664,0.690608218030658,0.699716225319494,0.69301244106244,0.692806248254478,0.67082071707949,0.648808075848174,0.705504971176632,1.11244215692338,1.3936235449847,1.29334442875346,1.34958609952925,1.17057828496692,1.29384056908663,1.25503300951603,6.1209497154618,11.2932213834916,0.99,0.99,0.986,0.987,0.992,0.989,0.985
1000,0.333,0.188611477703386,45,0.0840691794393469,0.0105322757243564,0.0848286409888163,0.0502762673696511,0.0186322279753255,0.112943432737929,0.0714250402393162,3.31217856835344,0.669315100157418,0.678287542229592,0.644654972290557,0.686711407637681,0.662102361163242,0.698686585805664,0.684689677159694,1.13617911768331,1.08163485482358,1.00851131207521,0.670687458430399,0.957988206310141,0.960686303456906,0.951355430658509,6.57702084767657,6.67349041263078,0.98,0.979,0.99,0.98,0.984,0.98,0.98
1000,0.333,0.188611477703386,50,0.0169295809086869,-0.0117447571394091,0.0963561534133456,0.0340617777843597,0.00733881191231944,0.0661691230056913,0.0450556214085687,3.00478101047321,0.613474631440173,0.670269448548857,0.64003637737697,0.672399796156951,0.634203958191808,0.645625192039128,0.638106941021767,1.20728920507003,0.893644273033783,1.10733673028884,0.869112030072176,0.87229687806156,0.989275671060715,1.05423788770274,5.31670803949309,7.08868338716416,0.983,0.976,0.981,0.98,0.981,0.984,0.98
1000,0.333,0.188611477703386,60,0.0498061542619503,0.0369032520560404,0.0377167167232934,0.0353801318064584,-0.00356839460584224,0.076802504275546,0.0506003334939142,2.78032364692772,0.626710206819059,0.646145486440962,0.586433183368432,0.623323086149402,0.624772214342501,0.609456720791607,0.617639190102589,0.43529476163484,0.959009073942083,0.731887239851608,0.77582438420276,0.728277682930516,0.696929126806313,0.857293284439493,7.03854344855808,3.99779270718189,0.964,0.971,0.974,0.966,0.969,0.978,0.965
1000,0.333,0.188611477703386,70,0.0705338580513897,0.0196296870058936,0.0421549291199356,-0.0225984482499781,-0.00525668943067226,0.0389042089752438,0.012868628328975,2.51385909119157,0.578760873928884,0.604287870221296,0.595400616407906,0.567350496091091,0.603383973155425,0.581840060577391,0.602471906838921,0.660059712873975,0.667768198801284,0.783992087822832,0.485433200659084,0.797669794944445,0.568778153388243,0.700638896999452,3.32186584780998,3.18256273148757,0.965,0.962,0.954,0.969,0.961,0.969,0.953
1000,0.333,0.188611477703386,80,0.0231038634659637,0.00991183399022688,0.0472761416432982,0.00633859455477226,0.0139278771501476,0.0275669878913702,0.0440644993423978,2.3476450885612,0.546439105087911,0.587941679707854,0.549033587795154,0.580968869288746,0.588453137980617,0.566448180430286,0.577691754898249,0.679381390680264,0.689897027502621,0.620879123306645,0.71443674297209,0.357497213537003,0.645124324263323,0.653993527181209,3.5220408894273,2.80512491306405,0.945,0.945,0.959,0.946,0.93,0.951,0.937
1000,0.333,0.188611477703386,90,0.0529731255964796,-0.00277732280118004,0.0241146661825329,0.00891954050070365,0.0156760310968915,-0.000853867509955197,0.041356355320733,2.12354243695817,0.523207120833928,0.544908457539005,0.516946622312801,0.557583606516941,0.571187816871846,0.530094984801229,0.552501141946008,0.516906323700296,0.7101243349016,0.709539840180193,0.716069249819617,0.720262158221551,0.615676253188756,0.706413943095798,2.73343664313381,3.18452615814762,0.942,0.942,0.947,0.947,0.926,0.943,0.919
1000,0.333,0.188611477703386,100,0.0409874367434757,-0.0103019308270942,0.0156097392743888,-0.00881133598433537,0.000292409085175915,0.054377237711738,0.0124305115203671,1.93757287634743,0.518065550464664,0.528147903215737,0.506686463021557,0.540025791592597,0.494596366809666,0.510054801907816,0.526837377885186,0.521235138526214,0.683725929555382,0.594472395669113,0.509816493229269,0.66432543140426,0.640008760339948,0.668924470768735,2.23129828092744,2.65087694207754,0.929,0.926,0.913,0.929,0.931,0.935,0.931
1000,0.333,0.188611477703386,250,0.0150606045749371,0.00594551613442795,-0.00968850686896849,-0.00834936824743981,0.0080552386292867,0.00760573176289236,-0.00615342255246754,0.921705738839407,0.350176254431806,0.363492629707472,0.339536636716902,0.370247300297063,0.362234455423066,0.339878632476771,0.353396265768412,0.373710037773828,0.333759668284162,0.36248213411624,0.429202451311665,0.367798347277544,0.343984133080221,0.38893778175649,0.940418437682955,0.971536056420179,0.886,0.882,0.877,0.872,0.886,0.884,0.895
1000,0.333,0.188611477703386,500,-0.0026808607430836,0.0027519965493088,0.0176604516801283,-0.000468678293937153,0.00244272544785651,0.0173144794897349,-0.0105396666399453,0.477995099263077,0.258064510136866,0.256988615110127,0.251974257775873,0.254763116737327,0.247920384358279,0.243874320999932,0.23999696903943,0.259724738503658,0.252671130686055,0.215296337687616,0.262680028487391,0.221873734635406,0.262127356438844,0.216220481163514,0.441310139629015,0.411342952050061,0.85,0.882,0.868,0.861,0.893,0.875,0.885
